Hatchery Spring Chinook,Hatchery Fall Chinook,Hatchery Summer Steelhead,Hatchery Type S Coho
123,259,053,268
123,259,057,268
123,261,062,268
123,261,062,272
123,261,062,272
123,261,062,272
123,261,062,272
123,261,062,272
123,261,062,272
123,261,062,275
123,261,062,275
123,261,062,275
123,261,062,275
123,261,062,275
123,261,062,275
123,261,062,275
123,265,062,275
123,265,063,275
123,265,063,275
123,265,063,275
123,265,063,275
123,265,065,275
123,265,065,275
123,265,065,275
123,265,065,275
123,265,065,275
123,265,067,275
123,266,067,275
123,268,067,275
123,268,067,275
123,268,067,275
123,268,067,275
123,268,067,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,268,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,271,068,275
123,272,068,275
123,272,068,275
123,272,068,275
123,272,068,275
123,272,070,275
123,272,070,275
123,272,070,275
123,272,070,275
123,272,070,275
123,272,071,275
123,272,071,275
123,272,071,275
123,272,071,275
123,272,071,275
123,272,071,275
123,272,071,275
123,274,072,275
123,274,074,275
123,274,074,275
123,274,074,275
123,274,074,275
123,274,074,275
123,274,074,275
123,274,074,275
125,274,074,275
130,274,074,275
130,274,074,275
130,274,074,275
130,274,074,275
131,274,074,275
131,274,074,275
131,274,074,275
131,274,074,275
133,274,074,275
134,274,074,275
134,274,074,275
134,274,074,275
134,274,074,275
134,274,074,275
134,274,074,275
134,274,074,275
134,275,074,275
134,275,074,275
134,275,074,275
134,275,074,275
134,275,074,275
134,275,074,275
134,275,074,275
134,275,074,275
135,275,074,275
135,275,074,275
135,275,074,275
135,275,074,275
137,275,074,275
137,275,075,275
137,275,075,275
137,275,075,276
137,275,075,276
137,275,075,276
137,275,075,276
138,275,075,276
138,275,076,276
139,275,076,276
139,275,076,276
140,275,076,276
140,275,076,282
141,275,076,282
141,275,077,282
141,275,077,282
141,275,077,287
141,275,077,287
141,275,077,287
141,275,077,287
141,275,077,289
141,275,077,289
141,275,077,289
141,275,077,289
141,275,077,289
142,276,077,289
142,276,077,289
142,276,077,289
142,278,077,289
142,278,077,290
142,278,077,290
142,278,077,290
142,278,077,290
142,278,077,290
142,278,078,290
142,278,078,290
142,278,078,290
142,278,078,290
142,278,078,290
142,278,078,290
142,278,078,290
142,278,078,290
142,278,079,290
142,278,079,290
142,279,079,290
142,279,079,290
142,279,079,290
142,279,079,290
142,279,079,290
142,279,079,290
142,279,080,290
142,279,080,290
142,279,080,290
142,279,080,290
142,279,080,290
142,279,080,290
142,279,080,290
142,279,080,290
142,280,080,290
142,280,080,290
142,281,080,290
142,281,080,290
142,281,080,290
142,281,080,290
142,281,080,290
142,281,080,290
142,281,081,290
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,281,081,291
142,282,081,291
142,282,081,291
142,282,081,291
142,282,081,291
142,282,081,291
142,282,081,293
142,282,081,293
142,282,081,293
143,282,081,293
143,282,081,293
143,282,081,293
143,282,081,293
143,283,081,293
143,283,082,293
143,283,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
143,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,285,082,293
144,286,082,293
144,286,082,293
144,286,082,296
144,286,082,296
144,286,082,296
144,286,082,296
144,286,082,296
146,286,082,296
146,286,082,296
146,286,082,296
146,286,082,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,084,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,296
146,286,085,297
146,286,085,297
146,286,085,297
146,286,085,297
146,286,085,297
146,286,085,297
146,286,085,297
146,287,085,297
146,287,085,297
146,287,085,297
146,289,085,297
146,289,085,297
146,289,085,297
146,289,085,297
146,289,085,297
146,289,085,297
147,289,086,297
147,289,086,297
147,289,086,297
147,289,086,297
147,289,086,297
147,289,087,297
147,289,087,297
148,289,088,297
148,289,088,297
148,289,088,297
148,289,088,297
148,289,088,298
148,289,088,298
148,289,088,298
148,289,088,298
149,289,088,298
149,289,088,298
149,289,088,298
149,289,088,298
149,289,088,298
149,289,089,298
149,290,089,298
149,291,089,298
149,291,089,298
149,291,089,298
149,291,089,298
149,291,089,298
149,291,089,298
149,291,089,298
149,291,089,298
149,291,089,298
150,291,089,298
150,291,089,298
150,291,089,298
150,291,089,298
150,291,089,298
150,291,089,298
150,291,090,298
150,291,090,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,291,091,298
150,293,091,298
150,293,091,298
150,293,091,298
150,293,091,298
150,293,091,298
150,293,091,299
150,293,091,299
150,293,091,299
150,293,091,299
150,293,092,299
150,293,092,299
150,293,092,299
150,293,092,299
150,293,092,299
150,293,092,299
150,293,092,299
150,294,092,299
150,294,092,299
150,294,092,299
150,294,092,299
150,294,092,299
150,294,092,299
150,294,092,299
150,294,093,299
150,294,093,299
150,294,093,299
151,294,093,299
151,294,093,299
151,294,093,299
151,296,093,299
151,296,093,299
151,296,093,299
151,296,093,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,299
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,095,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,296,098,300
151,297,098,300
151,297,098,300
151,297,098,300
151,297,098,300
151,297,098,300
151,297,098,300
152,297,098,300
152,297,098,300
152,297,098,300
152,297,098,300
152,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,297,098,300
153,298,098,300
153,298,110,300
153,298,110,300
153,298,110,300
153,298,110,300
153,298,110,300
153,298,110,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,112,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,120,300
153,298,121,300
153,298,121,300
153,298,122,300
153,298,122,300
153,298,123,300
153,298,123,300
153,298,124,300
153,298,124,300
153,298,124,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,125,300
153,298,126,300
153,298,126,300
153,298,135,300
153,298,135,300
153,298,135,300
153,298,135,300
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,135,301
153,298,147,301
153,298,150,301
153,299,153,301
153,299,155,301
153,299,155,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,299,158,301
153,300,158,301
153,300,158,301
153,300,158,301
153,300,158,301
153,300,158,301
153,300,158,301
153,300,160,301
153,300,161,301
153,300,161,301
153,300,162,301
153,300,164,301
153,300,164,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,165,301
154,300,169,301
154,300,169,301
154,300,169,301
154,301,174,301
154,301,174,301
154,301,174,301
154,301,175,301
154,301,175,301
154,301,176,301
154,301,176,301
154,301,178,301
154,301,178,301
154,301,178,301
154,301,178,301
154,301,178,301
154,301,179,301
154,301,181,301
154,301,181,301
154,301,181,301
154,301,181,301
154,301,181,301
154,301,181,301
154,301,181,301
154,301,183,301
154,301,190,301
154,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,301
155,301,190,303
155,301,190,303
155,301,190,303
155,301,190,303
156,301,196,303
156,301,196,303
156,301,196,303
156,301,196,303
156,301,196,303
156,301,197,303
156,301,197,303
156,301,199,303
156,301,199,303
156,301,203,303
156,301,203,303
156,301,203,303
156,301,203,303
156,301,203,303
156,301,203,303
157,301,203,303
157,301,203,303
157,301,203,303
157,301,203,305
157,301,203,305
157,301,203,305
157,301,203,305
157,301,203,305
157,301,203,305
157,301,203,305
157,301,203,305
157,301,209,305
157,301,209,305
157,301,209,305
158,301,209,305
158,301,209,305
158,301,209,305
158,301,209,305
158,301,209,305
158,301,209,305
158,301,210,305
158,301,238,305
158,301,238,305
158,301,238,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,301,243,305
158,302,243,305
158,303,243,305
158,303,243,305
158,303,243,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,247,305
158,303,251,305
158,303,251,305
158,303,251,305
158,303,251,305
158,303,251,305
158,304,251,305
158,304,251,305
158,304,251,305
158,304,251,305
158,304,251,305
158,304,251,305
158,304,253,305
158,304,253,305
158,304,253,305
158,304,253,305
158,304,253,305
158,304,253,305
158,304,253,305
158,304,253,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
158,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
159,304,259,305
160,304,259,306
160,304,259,306
160,304,259,306
160,304,259,306
160,304,259,306
160,304,259,306
160,304,259,306
160,304,259,306
160,304,259,306
160,304,261,306
160,304,261,306
160,304,261,306
160,304,261,306
160,304,265,306
160,304,265,306
160,304,265,306
160,304,265,306
160,304,265,306
160,304,265,306
160,304,265,306
160,304,265,306
160,304,266,306
160,304,266,306
160,304,266,306
160,304,268,306
160,304,268,306
160,304,268,307
160,304,268,307
160,304,268,307
160,304,268,307
160,304,268,307
160,304,269,307
160,304,269,307
160,304,269,307
160,304,269,307
160,304,269,307
160,305,269,307
160,305,269,307
160,305,269,307
160,305,269,307
160,305,269,307
160,305,269,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
160,305,271,307
161,305,271,307
161,305,271,307
161,305,271,307
161,305,271,307
161,305,271,307
161,305,271,307
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,305,271,308
161,306,271,308
161,306,271,308
161,306,271,308
161,306,271,308
161,306,271,308
161,306,271,308
161,306,272,308
161,306,272,308
161,306,272,308
161,306,272,308
161,306,272,309
161,306,273,309
161,306,273,309
161,306,273,309
161,306,273,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
161,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,309
162,306,275,310
162,306,275,310
162,307,275,310
162,307,275,310
162,307,275,310
162,307,275,310
162,307,275,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
162,307,276,310
164,307,276,310
164,307,276,310
164,307,276,310
164,307,276,310
164,307,276,310
164,307,276,310
164,307,276,310
164,307,276,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,278,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,310
164,307,279,311
164,307,279,311
164,307,279,311
164,307,279,311
164,307,279,311
164,307,279,312
164,307,279,312
164,307,280,312
164,307,280,312
164,307,280,312
164,307,280,312
164,307,280,314
164,307,281,314
164,307,281,314
164,307,281,314
164,307,281,314
164,307,281,314
164,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,281,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,282,314
165,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
167,307,283,314
