Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,51
Wild Fall Chinook,2009,50
Wild Fall Chinook,2010,400
Wild Fall Chinook,2011,152
Wild Fall Chinook,2012,311
Wild Fall Chinook,2013,337
Wild Fall Chinook,2014,163
Wild Fall Chinook,2015,435
Wild Fall Chinook,2016,1280
Wild Fall Chinook,2017,1382
Wild Fall Chinook,2018,1127
Wild Fall Chinook,2019,1081
Wild Fall Chinook,2020,600
Hatchery Fall Chinook,1997,12850
Hatchery Fall Chinook,1998,9800
Hatchery Fall Chinook,1999,11500
Hatchery Fall Chinook,2000,17100
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,2500
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,11026
Hatchery Fall Chinook,2011,8473
Hatchery Fall Chinook,2012,12200
Hatchery Fall Chinook,2013,8796
Hatchery Fall Chinook,2014,3870
Hatchery Fall Chinook,2015,7342
Hatchery Fall Chinook,2016,11291
Hatchery Fall Chinook,2017,15465
Hatchery Fall Chinook,2018,10871
Hatchery Fall Chinook,2019,10927
Hatchery Fall Chinook,2020,8737
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,0
Wild Winter Steelhead,1999,0
Wild Winter Steelhead,2000,0
Wild Winter Steelhead,2001,0
Wild Winter Steelhead,2002,0
Wild Winter Steelhead,2003,0
Wild Winter Steelhead,2004,40
Wild Winter Steelhead,2005,24
Wild Winter Steelhead,2006,43
Wild Winter Steelhead,2007,38
Wild Winter Steelhead,2008,29
Wild Winter Steelhead,2009,7
Wild Winter Steelhead,2010,23
Wild Winter Steelhead,2011,0
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,3
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
Wild Winter-Late Steelhead,2000,0
Wild Winter-Late Steelhead,2001,0
Wild Winter-Late Steelhead,2002,0
Wild Winter-Late Steelhead,2003,0
Wild Winter-Late Steelhead,2004,0
Wild Winter-Late Steelhead,2005,0
Wild Winter-Late Steelhead,2006,0
Wild Winter-Late Steelhead,2007,0
Wild Winter-Late Steelhead,2008,0
Wild Winter-Late Steelhead,2009,0
Wild Winter-Late Steelhead,2010,0
Wild Winter-Late Steelhead,2011,32
Wild Winter-Late Steelhead,2012,39
Wild Winter-Late Steelhead,2013,48
Wild Winter-Late Steelhead,2014,16
Wild Winter-Late Steelhead,2015,35
Wild Winter-Late Steelhead,2016,33
Wild Winter-Late Steelhead,2017,19
Wild Winter-Late Steelhead,2018,17
Wild Winter-Late Steelhead,2019,21
Wild Winter-Late Steelhead,2020,17
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,112
Hatchery Summer Steelhead,2004,465
Hatchery Summer Steelhead,2005,16
Hatchery Summer Steelhead,2006,177
Hatchery Summer Steelhead,2007,141
Hatchery Summer Steelhead,2008,253
Hatchery Summer Steelhead,2009,147
Hatchery Summer Steelhead,2010,124
Hatchery Summer Steelhead,2011,107
Hatchery Summer Steelhead,2012,174
Hatchery Summer Steelhead,2013,219
Hatchery Summer Steelhead,2014,158
Hatchery Summer Steelhead,2015,79
Hatchery Summer Steelhead,2016,20
Hatchery Summer Steelhead,2017,69
Hatchery Summer Steelhead,2018,109
Hatchery Summer Steelhead,2019,117
Hatchery Summer Steelhead,2020,62
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,1
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,0
Hatchery Winter Steelhead,2001,0
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,8
Hatchery Winter Steelhead,2004,95
Hatchery Winter Steelhead,2005,71
Hatchery Winter Steelhead,2006,55
Hatchery Winter Steelhead,2007,206
Hatchery Winter Steelhead,2008,182
Hatchery Winter Steelhead,2009,52
Hatchery Winter Steelhead,2010,314
Hatchery Winter Steelhead,2011,87
Hatchery Winter Steelhead,2012,98
Hatchery Winter Steelhead,2013,54
Hatchery Winter Steelhead,2014,123
Hatchery Winter Steelhead,2015,27
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,701
Wild Coho,2011,2650
Wild Coho,2012,6658
Wild Coho,2013,2855
Wild Coho,2014,1962
Wild Coho,2015,1193
Wild Coho,2016,393
Wild Coho,2017,500
Wild Coho,2018,3407
Wild Coho,2019,1624
Wild Coho,2020,2683
Hatchery Coho,1997,7400
Hatchery Coho,1998,3834
Hatchery Coho,1999,0
Hatchery Coho,2000,5000
Hatchery Coho,2001,0
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,9129
Hatchery Coho,2011,19179
Hatchery Coho,2012,33793
Hatchery Coho,2013,20588
Hatchery Coho,2014,14263
Hatchery Coho,2015,4022
Hatchery Coho,2016,10372
Hatchery Coho,2017,1970
Hatchery Coho,2018,15337
Hatchery Coho,2019,14999
Hatchery Coho,2020,17858
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,0
Wild Chum,2000,0
Wild Chum,2001,0
Wild Chum,2002,0
Wild Chum,2003,0
Wild Chum,2004,0
Wild Chum,2005,0
Wild Chum,2006,602
Wild Chum,2007,13
Wild Chum,2008,777
Wild Chum,2009,178
Wild Chum,2010,555
Wild Chum,2011,0
Wild Chum,2012,188
Wild Chum,2013,71
Wild Chum,2014,1519
Wild Chum,2015,58
Wild Chum,2016,0
Wild Chum,2017,0
Wild Chum,2018,0
Wild Chum,2019,0
Wild Chum,2020,0
